Title,Original Paragraph,FALC Translation,FALC OK
Un frère au fond des siècles,"Un frère au fond des siècles est le quatrième roman de la série Les Évadés du temps écrite par Philippe Ébly. Ce roman est paru pour la première fois en 1981 chez Hachette dans la collection Bibliothèque verte. À noter qu'il est d'abord sorti dans le cadre de la série Les Conquérants de l'impossible puis, lors de sa réédition en 1984, dans la série Les Évadés du temps. 
",Ceci est un test,ne sais pas
Les meilleurs films pour geeks,"En plus, si on continue dans la liste, le I, robot est très bien vu dans la série ""pétage de plombs de cerveau positronique"" mais ce n'est pas la seule adaptation d'une nouvelle d'Asimov.
L'homme bicentenaire avec un Robin Williams bien en place est une jolie réflexion sur l'état de robot avec une IA.",Ceci est un test,non
"Enfoirés de blogueurs, saison 4","Si tu ne sais pas de quoi il retourne : il s'agit simplement d'une déclinaison de la très (trop ?) médiatique troupe des Enfoirés consistant à faire une soirée musicale, engranger des dons et vendre des disques pour pouvoir donner tout un tas de sous aux Restos du Coeur.",Ceci est un test,ne sais pas
Votre avis nous intéresse ! ,"Le conseil d'administration ne peut délibérer que si la moitié au moins des membres en exercice assiste à la séance.       Dans le cas où le quorum n'est pas obtenu, il est procédé dans un délai de quinze jours à une nouvelle convocation par lettre recommandée avec demande d'avis de réception.       Le conseil d'administration peut alors délibérer quel que soit le nombre des membres présents.",Ceci est un test,non
Tout ce qu'il faut savoir sur les licences Creative Commons,"Au final en combinant ces différents possibilités il n'y a que 6 licences possibles. Oui, pas plus, parce que certaines combinaisons sont impossibles. Il serait par exemple inutile de juxtaposer le ""pas de modification"" et le ""partage dans les mêmes conditions"", puisque cette dernière caractéristique existe justement pour protéger les oeuvres dérivées.",Ceci est un test,oui
Tout ce qu'il faut savoir sur les licences Creative Commons,"Au final en combinant ces différents possibilités il n'y a que 6 licences possibles. Oui, pas plus, parce que certaines combinaisons sont impossibles. Il serait par exemple inutile de juxtaposer le ""pas de modification"" et le ""partage dans les mêmes conditions"", puisque cette dernière caractéristique existe justement pour protéger les oeuvres dérivées.",Ceci est un test,ne sais pas
Cétacés de la Caraïbe,"En plus des cétacés, la Caraïbe compte d'autres mammifères marins dont deux espèces de pinnipèdes en extra-limite de répartition (phoque à capuchon) ou échappées d'aquarium (otarie de Californie). La seule espèce de phoque indigène est le phoque moine des Caraïbes considéré disparu depuis la première moitié du 20e siècle. On trouve également l'essentiel des populations de lamantin des Caraïbes dans la région, avec une hybridation avec le lamantin d'Amazonie au niveau du plateau des Guyanes.
",Ceci est un test,ne sais pas
"Un ordinateur, comment ça marche ? Le rôle des principaux composants","Bien entendu il faut s'assurer que l'alimentation dispose de tous les câbles nécessaires pour relier ses différents composants : généralement la carte mère qui distribuera le courant aux différents composants connectés dessus, les disques durs et SSD, les éventuels lecteurs optiques, et la carte graphique s'il s'agit d'un modèle gourmand ne se satisfaisant pas de l'alimentation via la carte mère.",Ceci est un test,non
Votre avis nous intéresse ! ,"Si leur demande est présentée après l'expiration de ce délai de trois mois, les assurés ont droit aux prestations en nature des assurances volontaires mentionnées au premier alinéa pour les soins donnés à compter du premier jour du quatrième mois suivant la date d'effet de l'adhésion et, s'ils sont âgés d'au moins quarante-cinq ans, à compter du premier jour du septième mois suivant cette date.",Ceci est un test,oui
Francesco Fracanzano,"Fils du peintre Alessandro Fracanzano, Francesco naît à Monopoli dans les Pouilles en 1612. Il s'installe à Naples en 1622  avec son frère aîné Cesare, également peintre. Il épouse en 1632 Giovanna Rosa, sœur d'un ami peintre fréquentant son atelier, Salvator Rosa. Un de leurs enfants, Michelangelo, peintre aussi au début de sa carrière et après la mort de son père, est beaucoup plus connu après 1675 comme comédien de la commedia dell'arte et créateur du Pulcinella napolitain devenu le Polichinelle français.
",Ceci est un test,non
Heli Jukkola,"Jukkola participe depuis 2003 aux championnats du monde ; elle obtient sa première médaille d’or lors du relais en 2006, avec Minna Kauppi et Paula Haapakoski[1]. Avec la même équipe, elle s'impose aux championnats d’Europe la même année, et de nouveau aux championnats du monde l’année suivante. Individuellement, elle remporte par la suite sur l’épreuve longue distance des championnats du monde en 2007, et celle de moyenne distance des Championnats d’Europe en 2008[2].
",Ceci est un test,ne sais pas
Votre avis nous intéresse ! ,Le jaugeage et l'immatriculation des bateaux de navigation intérieure sont confiés au ministre de l'équipement et du logement.   Des bureaux d'immatriculation et de jaugeage sont établis dans les localités désignées dans les conditions fixées à l'article 137.   Un certain nombre de bureaux de jaugeage sont rattachés à un bureau unique d'immatriculation.,Ceci est un test,oui
Votre avis nous intéresse ! ,"En cas de cession d'un contrat de crédit-bail, ces délais prennent fin si, avant leur expiration, le crédit preneur lève l'option d'achat. Cette option ne peut être levée qu'en cas de paiement des sommes restant dues dans la limite de la valeur du bien fixée d'un commun accord entre les parties ou, à défaut, par le tribunal à la date de la cession.",Ceci est un test,non
"Google+ VS Facebook, round 1... FIGHT !","Une petite étude intéressante nous dit même que les 2/3 des utilisateurs de Facebook serait prêts à passer à la concurrence ! Peut-être un peu tôt pour le dire, mais la menace est sérieuse (et elle est certainement prise au sérieux du côté des équipes de Mark Zuckerberg).",Ceci est un test,non
Votre avis nous intéresse ! ,"Dans un délai maximum de trois ans à compter du désarmement du rôle, les services qui n'ont pas été soit actifs, soit professionnels peuvent, quelle qu'en soit la nature, être réduits ou annulés.   Le contentieux des décisions d'annulation ou de réduction est porté devant la juridiction administrative par la voie du recours pour excès de pouvoir. Ce recours est dispensé des frais de timbre et d'enregistrement (alinéa annulé par le Tribunal des conflits arrêt du 2 mars 1970).",Ceci est un test,non
1838 en architecture,"Afrique du Sud, Algérie, Angola, Bénin, Botswana, Burkina Faso, Burundi, Cameroun, Cap-Vert, République centrafricaine, Comores, République du Congo, République démocratique du Congo, Côte d'Ivoire, Djibouti, Égypte, Érythrée, Éthiopie, Gabon, Gambie, Ghana, Guinée, Guinée-Bissau, Guinée équatoriale, Kenya, Lesotho, Liberia, Libye, Madagascar, Malawi, Mali, Mauritanie, Maurice, Maroc, Mozambique, Namibie, Niger, Nigeria, Ouganda, Rwanda, Sahara occidental, Sao Tomé-et-Principe, Sénégal, Seychelles, Sierra Leone, Somalie, Soudan, Soudan du Sud, Swaziland, Tanzanie, Tchad, Togo, Tunisie, Zambie et Zimbabwe
",Ceci est un test,ne sais pas
